Should a 77-year-old woman with herpes zoster on the face be treated with steroids to prevent post herpetic neuralgia? How good is the evidence?,"Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?",0
What would cause a solitary rectal ulcer?,Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
What is the difference between restless legs syndrome and nocturnal myoclonus?,What is the difference between restless legs syndrome and nocturnal myoclonus?,1
What agent should I use next in this hypertensive patient?  78-year-old woman with blood pressure 210/110.  She's on Univasc and Toprol XL 100.  She has a history of an angiotensin-converting-enzyme-inhibitor (ACEI) cough and palpitations on Procardia.,What should I use next in this hypertension patient? Blood pressure 210/110. On Univasc and Toprol XL 100.,1
"What are the interactions of the new antidepressant Remeron with other gastrointestinal and migraine drugs patient is taking for Crohn's and migraine (Midrin, Fiorinal, Zantac)?",Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?,0
What does the prenatal care checklist include?,Let's give these immunizations.  That's right isn't it?,0
Are there articles on definitions of fever?,What is in Ortho Novum 1/35?,0
What are the long term effects of allergy injections? Patient asked me and I didn't know the answer.,What are the long term effects of allergy injections?,1
Is the faint trace of a vertical line on the rapid streptococcal test really positive?  The manufacturer says yes but I'm not sure.,Is the faint trace of a vertical line on the rapid streptococcal test really positive?,1
How many months apart should the patient receive Prevnar shots (doses)?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
What is focal sclerosing adenosis on mammogram and can it cause breast pain?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
She has a history of mitral valve prolapse but I can't hear a murmur or a click. Do you really need to give subacute bacterial endocarditis prophylaxis in this case? The podiatrist has taken the decision away and said he will give intravenous antibiotics before the procedure.,Let's give these immunizations. That's right isn't it?,0
Should I charge her child for an office visit (not scheduled just brought her in as an add on)?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
What is occipital neuralgia?  How do you diagnose and treat it?,What is the cause of this erythematous patch on this patient's cheek?,0
"6-month-old term delivery, developing normally except question of hypertonicity of lower extremities with some scissoring, which is now more definite.  ""Should I do any workup and if so should it be a magnetic resonance imaging or a computerized tomography or what?""",How should you work up a 6-month-old with hypertonicity?,1
COENZYME Q10(100-mg). WHAT ARE THE COMPONENTS OF THIS MEDICINE? IS IT USEABLE FOR MUSLIMS?,What doctor specializes in testing for and treating autoimmune diseases?,1
58-year-old female. Do you need to give a trial of nonsteroidals before you inject a shoulder or is an injection a first line treatment?,Is a trial of nonsteroidal anti-inflammatory drugs needed before injecting a shoulder?,1
What would make the positive control on a guaiac card not turn positive with the developer?,How should I treat polymenorrhea in a 14-year-old girl?,0
A 45-year-old male came to office earlier (a few days ago) and said he wonders if dialysis could cause his headaches to get worse  -- they seem worse after dialysis.  Question is whether the dialysis procedure could accelerate the headaches?,45-year-old man on dialysis. Could dialysis cause his headaches to get worse?,1
What do you do with heparin anticoagulation in pregnancy?,What anticoagulation should a pregnant patient have if she has had a thrombosis?,1
"15-year-old with an influenza-like illness, increased lactate dehydrogenase (LDH) and bilirubin. We had a recent death on the football field here (anomalous coronary artery). This patient is a football hero and the original question was whether to let him play. I did.","15-year-old, influenza-like illness, increased lactate dehydrogenase (LDH) and bilirubin. Should he play football?",1
Is this chest pain due to coronary disease?  Electrocardiogram just shows an old myocardial infarction.,Is this chest pain due to coronary disease?  Electrocardiogram just shows an old myocardial infarction.,1
What is this thumb nodule?  Wart versus foreign body?,I wonder if this patient could have a rotator cuff thing?,0
What is a blue dome cyst? Mother had blue dome cysts on her breasts.,What is a blue dome cyst? Mother had blue dome cysts on her breasts.,1
What is nedocromil sodium (Tilade)? (Possibly similar to cromolyn sodium),What is nedocromil sodium (Tilade)?,1
"62-year-old man.  He was healthy until 6 months ago when he moved to a new house and now he has asthma.  He called today saying he is worse, just after getting off a course of Prednisone.  ""I don't know what should I do with him.""","Patient with pelvic inflammatory disease and generalized abdominal pain, is it Fitz-Hugh-Curtis syndrome?",0
Why does he feel cold all the time?,Why does he feel cold all the time?,1
What are the manifestations of tyrosinemia syndrome?,What are the manifestations of tyrosinemia?,1
What is the name of the syndrome where you get a lot of seborrheic keratoses as a sign of internal malignancy?,What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
What are the indications for biphosphonates such as Fosamax in the treatment or prevention of osteoporosis?  Can you give it to someone already on estrogen?,What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
"The study physician asked me (investigator), ""Have you ever used those depression scales?  I'm not sure how I would use them.  Give them to everyone in the waiting room?""",What can cause a positive Mono Spot other than infectious mononucleosis?,0
