chq,faq,value
"What is the frequency of deviated septum, and if it is say 30%, how many of them have problems related to it?  This patient has had frequent sinus infections and is scheduled for surgery.","What is the frequency of deviated septum, and how many have problems related to it?  This patient has had frequent sinus infections and is scheduled for surgery.",1
Is there a hemoglobin A1C (glycosylated hemoglobin) criterion for diabetes?,Is there a hemoglobin AIC criterion for diabetes?,1
How does pregnancy affect serum cholesterol levels?,How does pregnancy affect serum cholesterol?,1
"I've got a woman with stage I breast cancer, 2 years status post mastectomy.  ""Am I considered a survivor?""  That's what she asked me.",What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
What is the drug of choice to start with in Type 2 diabetics (advantages and disadvantages of each)? Should they start with a sulfonylurea or some other drug for their diabetes? What combination of oral agents are okay to use?,What is the drug of choice to start with in Type 2 diabetics?,1
"Doctor would like a better way to introduce the subject of sexually transmitted disease -- open rather than closed question -- to get the information she needs. Now she asks ""Are you careful about protecting yourself against sexually transmitted diseases?"" Her question is whether there is a better way to ask this.",I wonder if this patient could have a sexually transmitted disease?,0
She's not talking at age 2 years. Is this a problem?,How should I treat polymenorrhea in a 14-year-old girl?,0
Is there such a drug as Lo-Estrin with iron?,Is there such a drug as Lo-Estrin with iron?,1
How do you deal with a palpable thyroid nodule?  What's the workup and treatment?,What are New York Heart Association classes I - IV? Where to find explanation?,0
Can adults get bacterial laryngotracheitis?,Can adults get bacterial laryngotracheitis?,1
"When you want to know the serum estrogen level, why do you get a follicle-stimulating hormone (FSH)?",How should I treat polymenorrhea in a 14-year-old girl?,0
A Henoch-Schoenlein-purpura patient. What's the source of the hemorrhage? Low platelets? Vasculitis?,Henoch Schoenlein purpura. What causes hemorrhage? Low platelets? Vasculitis?,1
What is the best test for bone mineral density?,What should be done if the computerized tomography shows osteoporosis but the DEXA (Dual Energy X-Ray Absorptiometry) scan is normal?,1
I had a woman. Celiac disease. Is there a specific test to check this disease?,Is there a test for celiac disease?,1
37-year-old man with a viral upper respiratory infection.  Is it okay to give the influenza shot to someone with an upper respiratory infection?,37-year-old with viral upper respiratory infection. Is it okay to give the influenza shot to someone with an upper respiratory infection?,1
How long should you treat someone with acute sinusitis?,Does Glucophage come in a one-gram tablet?,0
"Are her symptoms (sweating, feeling of being stimulated, nervous) due to Paxil?",How should I treat polymenorrhea in a 14-year-old girl?,0
"If someone has both mosaicism and punctation on colposcopy, which is the worst lesion; ie, which should be biopsied?","If someone has both mosaicism and punctation on colposcopy, which is the worst lesion?",1
How do you prescribe sodium bicarbonate to alkanalize the urine in someone who needs to start probenecid?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
Is her injury a rotator cuff injury?,Is her injury a rotator cuff injury?,1
"In a diabetic, at what amount of urine protein per 24 hours should you treat with captopril?",How do you use Redux? What are the indications?,0
"What is the current recommended immunization schedule for well babies?  Specifically, should children get a total of three Hemophilus immunizations or four?",Let's give these immunizations.  That's right isn't it?,0
An adult diabetic with a fever for 4 days.  I don't know what's causing the fever.  I don't know if it's just viral or what.,Patient had carcinoid removed. What urine test should be done to follow up?,0
"What harm does it do to have a low pO2 (for example, 50 or 48) if it's chronic and the patient is not uncomfortable?","What harm does it do to have a low pO2 (for example, 50 or 48) if it's chronic and the patient is not uncomfortable?",1
How do you grade colposcopy results?,Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
Patient wanted to know if she will make it worse by using the hand and what is causing this prolonged pain?  Dr. X said the exam was normal and he couldn't answer these questions so a referral to an orthopedic hand specialist will be made.,"Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?",0
"Why is there an increasing incidence of asthma, just in general?",Let's give these immunizations. That's right isn't it?,0
"22-year-old man on Ritalin for attention-deficit-hyperactivity disorder.  After he takes his dose, he craves cigarettes.  I (investigator) said, ""I've never heard of that.""  She (physician) said, ""I haven't either.""",Can Ritalin cause a craving for cigarettes?,1
"Did I write the prescription correctly for Synalar lotion?  I think there is just one strength, I think it's medium potency, I think it comes in 15 cc (cubic centimeter) bottles.",Did I write the prescription correctly for Synalar lotion?,1
"68-year-old white female presented with abdominal pain for over two months. Eventually went to exploratory laparotomy where disseminated ovarian cancer was found. Question: What role, if any, would a CA-125 (cancer antigen 125) play in detecting this earlier?",Is the CA-125 (cancer antigen 125) indicated in unexplained abdominal pain?,1
What is the name of that skin disease on the feet that produces moist skin and little holes?,Let's give these immunizations. That's right isn't it?,0
What should you do if you think you have someone with streptococcal sore throat who is resistant to penicillin?,What should you do if you have someone with streptococcal sore throat who is resistant to penicillin?,1
"""I have a question.  You know how some kids pop a lot when you pick them up?  I (physician) said, 'Well, I don't know but it's probably normal.'""  I (investigator) asked later to confirm that she (study physician) meant popping joints and she did.",What would cause popping joints in a 5-month old?,1
"He's got night sweats along with a lot of other symptoms.  But the only concerning one is night sweats.  I (investigator) prompted:  ""So what would you look up?  What is the question?""  He said, ""Any other unusual causes that I might need to check for and any symptomatic treatment?""",Why did she get Coccidiomycosis?,0
"What is the ideal body weight for a 5-foot, 8-inch, 26-year-old woman?",How should I treat polymenorrhea in a 14-year-old girl?,0
I'll have to look this up -- how to measure the voltage on an electrocardiogram.  What do you add to what to diagnose ventricular hypertrophy?,What do you add to what to diagnose ventricular hypertrophy on an electrocardiogram?,1
How far forward is it normal for a coccyx to be angulated forward? The patient's coccyx was acutely angled forward after a fall (&lt; 90 degrees).,How far forward is it normal for a coccyx to be angulated forward?,1
What is the differential diagnosis for this rash?,How should I treat polymenorrhea in a 14-year-old girl?,0
"How do you approach a nursing home patient who is incontinent?  The nurses think there is a motivation issue with her.  Elderly woman status post stroke.  Residual 300 cubic centimeters in morning but 100 cubic centimeters at end of day, bed damp at times.",I wonder if this patient could have a rotator cuff thing?,0
What is the differential diagnosis and how do you treat gynecomastia?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
Patient with ingrown toenail. What is Cutivate? (The chart said he was on this.),Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.,0
Why is Opticrom still off the market?,How should I treat polymenorrhea in a 14-year-old girl?,0
Need to increase Ziac from 5 to 10 for better control. Is there a difference in price between the two doses?,Why did she get Coccidiomycosis?,0
Why does the X Hospital laboratory check for ascorbic acid in the urine?,Why does the laboratory check for ascorbic acid in the urine?,1
Patient called in.  He is going to Peru and needs malarial prophylaxis.  Is malarial prophylaxis needed for Peru and if so what drug is needed?,Is malaria prophylaxis needed for Peru and if so what drug is needed?,1
What is Hytrin?,What is Hytrin?,1
This patient is from a foreign country with a high prevalence of tuberculosis. What measurement is considered positive for this person's tuberculin skin test? When she phoned in she said her test looked the size of a nickel.,At what ages should you do a Denver Developmental Screening Test?,0
Is there any evidence that Atarax is better than other antihistamines for itching?,How should I treat polymenorrhea in a 14-year-old girl?,0
15-month-old. Was he adequately vaccinated for polio or did he need another? He's had three polios so far.,Is this child adequately immunized against polio?,1
What are the adult doses of antibiotics?,Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
Can this rash be a drug reaction to 1% hydrocortisone or some inert ingredient in the preparation?,Could this rash be a drug reaction to 1% hydrocortisone or an inert ingredient in the cream?,1
How do you run a nitroglycerine drip?,How do you run a nitroglycerine drip?,1
"40-year-old man with diabetes, wanted disability. They never teach this in medical school but it's so common in practice. How to do a disability evaluation (was my (investigator) sense of the question).",How do you do a disability evaluation?,1
"Nine-month-old girl with lipomeningomyelocele, not classic meningomyelocele.  The question that arose was how soon will she retether her cord.",How should I treat polymenorrhea in a 14-year-old girl?,0
8-year-old male patient.  Question was the dose of erythromycin for a pediatric patient.,Why did she get Coccidiomycosis?,0
31-year-old woman in for annual exam. Is St. John's Wort safe during pregnancy?,Why is this otherwise healthy 28-year-old woman short of breath?,0
Does an obese postmenopausal woman need hormone replacement therapy?,Is melatonin good for anything? What is the dose?,0
Does this 9-month-old boy need any immunizations?,Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?,0
"""This lady wanted to know if Centrum with Ginseng interacts with any of her medications.""",Does Centrum with Ginseng interact with antihypertensives?,1
Is acyclovir ointment helpful to treat herpes labialis? (HSV-1),I wonder if this patient could have a rotator cuff thing?,0
What is the best way to treat ingrown toenail? How do you destroy the nail matrix (bed)? What are the indications for destroying the nail matrix?,How do you use Redux? What are the indications?,0
"Dr. X said Tagamet has been used successfully for treatment of warts--recommended by a dermatology professor.  Question is, what is appropriate dosage?",Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
21-year-old. What to do about bacterial vaginitis in the first trimester of pregnancy?,What is the treatment for bacterial vaginosis?,1
"How much scoliosis is enough to pull the trigger and refer?  He had a hair of lumbar scoliosis, no thoracic scoliosis.  He was clearly under the line but where's the line?",At what ages should you do a Denver Developmental Screening Test?,0
What is the practicality of freezing sperm before you do a vasectomy? We got some information from the University but how long can you freeze sperm and still have it be good?,What is the practicality of freezing sperm before you do a vasectomy?,1
Recommendation for treatment duration of uncomplicated cystitis?,Young man with recurrent peptic ulcer disease; do vagotomy? Will health maintenance organization pay?,0
A boy with attention-deficit-hyperactivity disorder. What is Spark? The mother asked me. I've never heard of it.,How do you use Redux? What are the indications?,0
Is the chest pain from costochondritis or Herpes Zoster?,Is the chest pain from costochondritis or Herpes Zoster?,1
"Same immunocompromised woman had pulmonary embolus, smoker, on oral contraceptives. If her chest pain progresses and she comes in, would another VQ (ventilation-perfusion) scan be helpful or is that always going to be abnormal for her?","If chest pain progresses and she comes in, would another VQ (ventilation-perfusion) scan be helpful?",1
13-year-old boy with jaundice.  I saw him one time and his eyes were yellow.  We did a big workup and the bilirubin was 3 but everything else was normal.  I asked a pediatric gastroenterologist what would give this picture and is there a test for Gilbert's disease.,Is there a test for Gilbert's disease?,1
When do we stop doing mammograms? What age?,What organisms can cause pelvic inflammatory disease if you don't think it's sexually transmitted?,0
Could an osteoarthropathy associated with chronic lymphocytic leukemia (CLL) cause bilateral ankle pain?,Could an osteoarthropathy associated with chronic lymphocytic leukemia cause ankle pain?,1
67-year-old woman with a normal workup for microscopic hematuria.  How often do they need follow up intravenous pyelogram and cystoscopy?  I assume we'll get a urinalysis every year.  Intravenous pyelogram and cystoscopy were recently normal.,"67-year-old, normal workup for microscopic hematuria. How often do they need follow-up intravenous pyelogram and cystoscopy?",1
When does the incidence of testicular cancer fall off in terms of age? When is it OK to stop doing self exams?,When does the incidence of testicular cancer fall off in terms of age?,1
"33-year-old woman on birth control pills. She bleeds appropriately at the time of her periods but also bleeds at other times. If she was on a lower estrogen pill, like if I switched her from TriLevlen to Allesse, would that help? The whole issue of how to deal with abnormal vaginal bleeding pre- and post-menopausal is a question.",What is the approach to intermenstrual bleeding while on oral contraceptives?,1
"How high above normal is it safe to let transaminases go (liver function tests, LFT's, alanine aminotransferase, ALT) in a patient on a 3-hydroxy-3-methyl-glutaryl-coenzyme A (HMG co-A) inhibitor?  How often to monitor?  Same for creatine kinase (CPK)?","What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",0
Can a mom who is breast feeding have Sudafed or another cold medication?,At what ages should you do a Denver Developmental Screening Test?,0
Is his discomfort only due to a urinary infection and should he have x-rays? Could the diverticulitis be irritating the bladder? He has a history of diverticulitis also.,Probably a normal 18 month old but how many respiratory infections are normal?,0
What is the reference to that article that said to use estrogen even if after 20 years of menopause?,What is the article that said to use estrogen even after 20 years of menopause?,1
How should a woman with known diethylstilbestrol exposure be followed?  Iodine?  Colposcopy?,How should a woman with known diethylstilbestrol exposure be followed?,1
A patient heard that nicotine patches can cause myocardial infarction. Is this true? She heard it on the news.,What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
What is the dose of propranolol?,How should I treat polymenorrhea in a 14-year-old girl?,0
"Do you need to be on a special diet before you get a 24-hour urine for vanillylmandelic acid (VMA), catecholamines, and metanephrines?","Do you need to be on a special diet before you get a 24-hour urine for vanillylmandelic acid, catecholamines, and metanephrines?",1
What are the indications for working up possible secondary causes of hypertension?,What are the long term effects of Dilantin use?,0
What is the drug dosing for phenobarbital?,How should I treat polymenorrhea in a 14-year-old girl?,0
Are oral decongestants contraindicated in patients with hypertension?,Are decongestants contraindicated in patients with hypertension?,1
Can a ruptured ovarian follicle cyst cause a low grade fever and leukocytosis?,Let's give these immunizations.  That's right isn't it?,0
What dose of cryoprecipitate is needed?,What dose of cryoprecipitate is needed?,1
6-month-old boy involved in a motor vehicle accident where the air bag went off approximately three weeks ago. Could the cough be caused by the air bag deployment?,Could the dust from deployment of an airbag cause a cough?,1
"Last week I had a 72-year-old man with an elevated alkaline phosphatase of approximately 210 units per liter (normal 20 - 125). I broke it down, but each individual component was normal: bone approximately 40% (normal 23 to 62%), liver approximately 55% (normal 38 to 72%), and intestinal approximately 5% (normal less than 18%).",How should you work up an elevated alkaline phosphatase when the proportions of each component are normal?,1
What is bronchiolitis?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
Is it all right for children to take griseofulvin?,Let's give these immunizations. That's right isn't it?,0
"Do you need to do anything else when somebody develops secondary enuresis, besides a urinalysis?",Is a urinalysis adequate workup for enuresis?,1
What are the causes of hypermagnesemia?,What are the causes of hypermagnesemia?,1
"Two patients with the same question regarding asymptomatic femoral bruits.  ""Why does she have this bruit?  Do I need to look for peripheral vascular disease?""",How should I treat polymenorrhea in a 14-year-old girl?,0
"How should you interpret acetowhite epithelium that is in the columnar epithelium, clearly inside the squamocolumnar junction?","How should you interpret acetowhite staining in the columnar epithelium, inside the squamocolumnar junction?",1
Can the Zavanelli maneuver be used to replace a partially delivered breech?,"Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?",0
70-year-old man here for complete physical examination.  One of the things I struggle with is what screening tests to do.  I don't know what we really should be doing.,What screening tests should be done in men over age 70?,1
How old do you have to be before you don't need to aggressively workup hypertension (240-260/90)?  This patient is 88.,Is there a textbook I can show mother to help explain hand foot and mouth disease?,0
What does ethnography mean?,What does ethnography mean?,1
